agricultureStructureIndicator,asOfDate,basementEnclosureCrawlspaceType,policyCount,crsClassificationCode,dateOfLoss,elevatedBuildingIndicator,elevationCertificateIndicator,elevationDifference,baseFloodElevation,ratedFloodZone,houseWorship,locationOfContents,lowestAdjacentGrade,lowestFloorElevation,numberOfFloorsInTheInsuredBuilding,nonProfitIndicator,obstructionType,occupancyType,originalConstructionDate,originalNBDate,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim,postFIRMConstructionIndicator,rateMethod,smallBusinessIndicatorBuilding,totalBuildingInsuranceCoverage,totalContentsInsuranceCoverage,yearOfLoss,primaryResidenceIndicator,buildingDamageAmount,buildingDeductibleCode,netBuildingPaymentAmount,buildingPropertyValue,causeOfDamage,condominiumCoverageTypeCode,contentsDamageAmount,contentsDeductibleCode,netContentsPaymentAmount,contentsPropertyValue,disasterAssistanceCoverageRequired,eventDesignationNumber,ficoNumber,floodCharacteristicsIndicator,floodWaterDuration,floodproofedIndicator,floodEvent,iccCoverage,netIccPaymentAmount,nfipRatedCommunityNumber,nfipCommunityNumberCurrent,nfipCommunityName,nonPaymentReasonContents,nonPaymentReasonBuilding,numberOfUnits,buildingReplacementCost,contentsReplacementCost,replacementCostBasis,stateOwnedIndicator,waterDepth,floodZoneCurrent,buildingDescriptionCode,rentalPropertyIndicator,state,reportedCity,reportedZipCode,countyCode,censusTract,censusBlockGroupFips,latitude,longitude,id
False,2026-01-12T00:00:00.000Z,1.0,1,,2011-08-28T00:00:00.000Z,False,1,,,AE,False,,,,2.0,False,,1,1925-07-01T00:00:00.000Z,2010-12-22T00:00:00.000Z,1547.29,0.0,0.0,False,1,False,250000,0,2011,True,2528.0,1,1547.29,149632.0,2,N,,0,0.0,,0.0,,283.0,,0.0,False,Hurricane Irene,30000.0,0.0,360926,,,,,1,241340.0,,R,False,0.0,,1.0,False,NY,Currently Unavailable,10803,36119,36119005500,361190055003,40.9,-73.8,0da8c6b1-a7ec-4306-bcb4-b017bad0dcd6
False,2026-01-12T00:00:00.000Z,,1,,1981-08-31T00:00:00.000Z,False,,,,C,False,3.0,,,1.0,False,10.0,1,1492-10-12T00:00:00.000Z,1980-09-05T00:00:00.000Z,1018.68,0.0,0.0,False,1,False,55000,20000,1981,False,1264.0,,1018.68,65300.0,4,N,,,0.0,,0.0,,61.0,,0.0,False,Flooding,,0.0,480287,,,97,,1,0.0,,R,False,-1.0,,,False,TX,Currently Unavailable,77379,48201,48201554001,482015540011,30.0,-95.5,3dc3a379-e47f-4080-b2f0-b95ccf504d53
False,2026-01-12T00:00:00.000Z,,1,,1992-08-24T00:00:00.000Z,False,,2.0,,AHB,False,3.0,,,1.0,False,10.0,1,1988-01-01T00:00:00.000Z,1988-11-04T00:00:00.000Z,,,,True,1,False,85000,10000,1992,False,,0,0.0,,1,N,,0,0.0,,0.0,,564.0,,0.0,False,Hurricane Andrew,,0.0,120650,,,,98,0,,,,False,0.0,,,False,FL,Currently Unavailable,33101,12086,,,25.8,-80.2,9969416b-fcce-462f-95a6-16573cf7b497
False,2026-01-12T00:00:00.000Z,,1,,2002-09-26T00:00:00.000Z,True,,,,A13,False,3.0,,,1.0,False,10.0,1,1970-06-15T00:00:00.000Z,1998-06-15T00:00:00.000Z,,,,False,1,False,18200,5600,2002,True,250.0,1,0.0,23104.0,2,N,,1,0.0,,0.0,,635.0,2.0,14.0,False,Tropical Storm Isidore,30000.0,0.0,225202,,,98,01,1,30805.0,,A,False,5.0,,,False,LA,Currently Unavailable,70357,22057,22057021100,220570211001,29.2,-90.1,b5ddd14a-1aa4-4158-a804-6fe4f2c6d112
False,2026-01-12T00:00:00.000Z,,1,,2005-08-29T00:00:00.000Z,False,,,,A05,False,3.0,,,1.0,False,,1,1974-12-31T00:00:00.000Z,2003-10-08T00:00:00.000Z,30000.0,25000.0,13096.0,False,1,False,30000,25000,2005,True,58914.0,1,30000.0,73200.0,4,N,39600.0,1,25000.0,0.0,0.0,,654.0,,0.0,False,Hurricane Katrina,30000.0,13096.0,225203,,,,,1,112400.0,0.0,A,False,9.0,,,False,LA,Currently Unavailable,70124,22071,22071005602,220710056021,30.0,-90.1,f02d9adf-a338-48a5-b66d-d74d6c1295ec
False,2026-01-12T00:00:00.000Z,,1,,2011-09-04T00:00:00.000Z,False,,,,AE,False,3.0,,,1.0,False,,1,1973-07-01T00:00:00.000Z,2006-08-25T00:00:00.000Z,11788.09,0.0,0.0,False,1,False,70000,5000,2011,True,13788.0,2,11788.09,69537.0,2,N,,2,0.0,,0.0,,,,0.0,False,,30000.0,0.0,220113,,,20,,1,136348.0,,A,False,1.0,,1.0,False,LA,Currently Unavailable,70449,22063,22063040902,220630409024,30.3,-90.7,47970c89-661c-4510-87e6-d8203187bc22
False,2026-01-12T00:00:00.000Z,,1,,2005-08-29T00:00:00.000Z,False,,0.0,-4.0,AE,False,,-6.1,-4.3,1.0,False,,1,1977-01-01T00:00:00.000Z,2001-10-17T00:00:00.000Z,133000.0,20000.0,0.0,True,1,False,133000,20000,2005,True,140335.0,0,133000.0,149600.0,4,N,48185.0,0,20000.0,0.0,0.0,,654.0,,0.0,False,Hurricane Katrina,30000.0,0.0,225203,,,,,1,187000.0,0.0,A,False,7.0,,,False,LA,Currently Unavailable,70126,22071,22071001724,220710017242,30.0,-90.0,3af88378-8490-4102-ba00-037d9ec4c0e1
False,2026-01-12T00:00:00.000Z,,1,,1997-03-01T00:00:00.000Z,False,,,,A,False,3.0,,,1.0,False,10.0,1,1980-01-01T00:00:00.000Z,1992-03-01T00:00:00.000Z,42000.0,0.0,0.0,False,1,False,42000,25000,1997,True,42800.0,9,42000.0,74015.0,2,N,,9,0.0,,0.0,,603.0,,0.0,False,Flooding,,0.0,210189,,,,,1,77910.0,,A,False,10.0,,,False,KY,Currently Unavailable,41040,21191,21191930300,211919303003,38.7,-84.3,bb05fe65-bcce-4bbc-add2-edad1e8bbd04
False,2026-01-12T00:00:00.000Z,,1,,1979-09-12T00:00:00.000Z,False,,,13.0,A14,False,,,,1.0,False,10.0,1,1492-10-12T00:00:00.000Z,1979-02-07T00:00:00.000Z,,,,False,1,False,25500,0,1979,False,,,0.0,,1,N,,,0.0,,0.0,,,,0.0,False,,,0.0,285260,,,,06,1,,,,False,0.0,,,False,MS,Currently Unavailable,39581,28059,28059042000,280590420001,30.4,-88.5,a601a6c2-e861-450c-aa45-fedda0075f65
False,2026-01-12T00:00:00.000Z,,1,,1996-01-19T00:00:00.000Z,False,,,,AE,False,,,,2.0,False,,1,1980-03-31T00:00:00.000Z,1991-08-17T00:00:00.000Z,13700.0,1500.0,0.0,False,1,False,72600,6500,1996,True,14653.0,1,13700.0,20000.0,2,N,2250.0,1,1500.0,0.0,0.0,,981.0,,0.0,False,Flooding,30000.0,0.0,540073,,,,,1,24000.0,0.0,A,False,-66.0,,,False,WV,Currently Unavailable,24975,,,,,,39917c7e-f696-4e0e-b105-637346915662
